engine,benchmark,category,run,wall_ms,user_ms,sys_ms,peak_rss_kb
lua,alloc/binary_trees,alloc,1,650.00,640.00,10.00,21280
lua,alloc/binary_trees,alloc,2,620.00,610.00,10.00,21280
lua,alloc/binary_trees,alloc,3,600.00,600.00,0.00,21280
lua,alloc/binary_trees,alloc,4,600.00,600.00,0.00,21280
lua,alloc/binary_trees,alloc,5,640.00,630.00,10.00,21120
luajit,alloc/binary_trees,alloc,1,330.00,330.00,0.00,27680
luajit,alloc/binary_trees,alloc,2,400.00,390.00,0.00,27840
luajit,alloc/binary_trees,alloc,3,400.00,390.00,10.00,30560
luajit,alloc/binary_trees,alloc,4,360.00,350.00,10.00,28000
luajit,alloc/binary_trees,alloc,5,340.00,330.00,10.00,27360
quickjs,alloc/binary_trees,alloc,1,820.00,520.00,300.00,19360
quickjs,alloc/binary_trees,alloc,2,800.00,490.00,300.00,19360
quickjs,alloc/binary_trees,alloc,3,830.00,520.00,300.00,19360
quickjs,alloc/binary_trees,alloc,4,870.00,560.00,300.00,19360
quickjs,alloc/binary_trees,alloc,5,920.00,600.00,310.00,19360
v8,alloc/binary_trees,alloc,1,80.00,80.00,20.00,49760
v8,alloc/binary_trees,alloc,2,80.00,80.00,10.00,49280
v8,alloc/binary_trees,alloc,3,90.00,80.00,20.00,49440
v8,alloc/binary_trees,alloc,4,80.00,70.00,20.00,49600
v8,alloc/binary_trees,alloc,5,90.00,90.00,10.00,49760
v8-nojit,alloc/binary_trees,alloc,1,400.00,380.00,20.00,40640
v8-nojit,alloc/binary_trees,alloc,2,420.00,410.00,20.00,40480
v8-nojit,alloc/binary_trees,alloc,3,440.00,440.00,20.00,40480
v8-nojit,alloc/binary_trees,alloc,4,450.00,450.00,20.00,40320
v8-nojit,alloc/binary_trees,alloc,5,400.00,400.00,10.00,40480
lua,alloc/object_churn,alloc,1,80.00,80.00,0.00,2240
lua,alloc/object_churn,alloc,2,80.00,80.00,0.00,1920
lua,alloc/object_churn,alloc,3,80.00,80.00,0.00,2240
lua,alloc/object_churn,alloc,4,90.00,90.00,0.00,2080
lua,alloc/object_churn,alloc,5,80.00,80.00,0.00,2080
luajit,alloc/object_churn,alloc,1,0.00,0.00,0.00,2400
luajit,alloc/object_churn,alloc,2,0.00,0.00,0.00,2400
luajit,alloc/object_churn,alloc,3,0.00,0.00,0.00,2400
luajit,alloc/object_churn,alloc,4,0.00,0.00,0.00,2400
luajit,alloc/object_churn,alloc,5,0.00,0.00,0.00,2400
quickjs,alloc/object_churn,alloc,1,110.00,110.00,0.00,3040
quickjs,alloc/object_churn,alloc,2,110.00,110.00,0.00,3040
quickjs,alloc/object_churn,alloc,3,120.00,120.00,0.00,3040
quickjs,alloc/object_churn,alloc,4,110.00,110.00,0.00,3040
quickjs,alloc/object_churn,alloc,5,110.00,110.00,0.00,3040
v8,alloc/object_churn,alloc,1,30.00,20.00,10.00,28480
v8,alloc/object_churn,alloc,2,30.00,20.00,0.00,28320
v8,alloc/object_churn,alloc,3,30.00,20.00,10.00,28160
v8,alloc/object_churn,alloc,4,20.00,20.00,0.00,28160
v8,alloc/object_churn,alloc,5,30.00,20.00,0.00,28000
v8-nojit,alloc/object_churn,alloc,1,80.00,70.00,0.00,20160
v8-nojit,alloc/object_churn,alloc,2,70.00,70.00,0.00,20480
v8-nojit,alloc/object_churn,alloc,3,80.00,70.00,10.00,20320
v8-nojit,alloc/object_churn,alloc,4,80.00,70.00,10.00,20480
v8-nojit,alloc/object_churn,alloc,5,70.00,60.00,10.00,20160
lua,call/ackermann,call,1,140.00,140.00,0.00,2560
lua,call/ackermann,call,2,140.00,140.00,0.00,2560
lua,call/ackermann,call,3,130.00,130.00,0.00,2560
lua,call/ackermann,call,4,140.00,140.00,0.00,2560
lua,call/ackermann,call,5,130.00,130.00,0.00,2560
luajit,call/ackermann,call,1,30.00,30.00,0.00,2720
luajit,call/ackermann,call,2,30.00,30.00,0.00,2720
luajit,call/ackermann,call,3,30.00,30.00,0.00,2560
luajit,call/ackermann,call,4,30.00,30.00,0.00,2576
luajit,call/ackermann,call,5,30.00,30.00,0.00,2560
quickjs,call/ackermann,call,1,250.00,250.00,0.00,5920
quickjs,call/ackermann,call,2,240.00,230.00,0.00,5920
quickjs,call/ackermann,call,3,240.00,230.00,0.00,5920
quickjs,call/ackermann,call,4,250.00,250.00,0.00,6080
quickjs,call/ackermann,call,5,240.00,240.00,0.00,5760
v8,call/ackermann,call,1,30.00,30.00,0.00,26080
v8,call/ackermann,call,2,30.00,20.00,10.00,26080
v8,call/ackermann,call,3,30.00,20.00,10.00,25920
v8,call/ackermann,call,4,40.00,20.00,10.00,26080
v8,call/ackermann,call,5,30.00,30.00,0.00,25920
v8-nojit,call/ackermann,call,1,190.00,190.00,0.00,18720
v8-nojit,call/ackermann,call,2,180.00,170.00,0.00,18560
v8-nojit,call/ackermann,call,3,190.00,180.00,0.00,18560
v8-nojit,call/ackermann,call,4,180.00,180.00,0.00,18560
v8-nojit,call/ackermann,call,5,220.00,210.00,0.00,18560
lua,call/fibonacci,call,1,350.00,350.00,0.00,2080
lua,call/fibonacci,call,2,350.00,340.00,0.00,2080
lua,call/fibonacci,call,3,340.00,340.00,0.00,2240
lua,call/fibonacci,call,4,340.00,340.00,0.00,2080
lua,call/fibonacci,call,5,340.00,340.00,0.00,2240
luajit,call/fibonacci,call,1,70.00,70.00,0.00,2560
luajit,call/fibonacci,call,2,70.00,70.00,0.00,2560
luajit,call/fibonacci,call,3,70.00,70.00,0.00,2560
luajit,call/fibonacci,call,4,70.00,70.00,0.00,2400
luajit,call/fibonacci,call,5,70.00,70.00,0.00,2560
quickjs,call/fibonacci,call,1,500.00,490.00,0.00,3040
quickjs,call/fibonacci,call,2,510.00,510.00,0.00,3040
quickjs,call/fibonacci,call,3,540.00,530.00,0.00,3200
quickjs,call/fibonacci,call,4,500.00,500.00,0.00,3040
quickjs,call/fibonacci,call,5,500.00,500.00,0.00,3040
v8,call/fibonacci,call,1,60.00,60.00,0.00,25440
v8,call/fibonacci,call,2,60.00,60.00,0.00,25600
v8,call/fibonacci,call,3,70.00,60.00,0.00,25600
v8,call/fibonacci,call,4,60.00,50.00,10.00,25440
v8,call/fibonacci,call,5,60.00,50.00,0.00,25280
v8-nojit,call/fibonacci,call,1,520.00,520.00,0.00,18080
v8-nojit,call/fibonacci,call,2,560.00,560.00,0.00,18080
v8-nojit,call/fibonacci,call,3,530.00,520.00,10.00,17760
v8-nojit,call/fibonacci,call,4,530.00,520.00,10.00,17920
v8-nojit,call/fibonacci,call,5,530.00,520.00,0.00,18080
lua,call/queens,call,1,240.00,240.00,0.00,2240
lua,call/queens,call,2,250.00,240.00,0.00,2240
lua,call/queens,call,3,240.00,240.00,0.00,2240
lua,call/queens,call,4,250.00,250.00,0.00,2240
lua,call/queens,call,5,240.00,240.00,0.00,2240
luajit,call/queens,call,1,70.00,70.00,0.00,2400
luajit,call/queens,call,2,70.00,70.00,0.00,2400
luajit,call/queens,call,3,70.00,70.00,0.00,2536
luajit,call/queens,call,4,70.00,70.00,0.00,2400
luajit,call/queens,call,5,70.00,70.00,0.00,2400
quickjs,call/queens,call,1,510.00,510.00,0.00,3040
quickjs,call/queens,call,2,500.00,490.00,0.00,3200
quickjs,call/queens,call,3,490.00,490.00,0.00,3040
quickjs,call/queens,call,4,480.00,480.00,0.00,3040
quickjs,call/queens,call,5,480.00,480.00,0.00,3040
v8,call/queens,call,1,110.00,100.00,10.00,26400
v8,call/queens,call,2,100.00,100.00,10.00,26240
v8,call/queens,call,3,110.00,90.00,10.00,26240
v8,call/queens,call,4,100.00,100.00,0.00,26080
v8,call/queens,call,5,110.00,100.00,10.00,26080
v8-nojit,call/queens,call,1,340.00,330.00,0.00,18240
v8-nojit,call/queens,call,2,360.00,350.00,0.00,18400
v8-nojit,call/queens,call,3,360.00,340.00,10.00,18400
v8-nojit,call/queens,call,4,350.00,340.00,10.00,18080
v8-nojit,call/queens,call,5,340.00,340.00,0.00,18240
lua,compute/fannkuch,compute,1,2160.00,2160.00,0.00,2240
lua,compute/fannkuch,compute,2,2130.00,2130.00,0.00,2240
lua,compute/fannkuch,compute,3,2150.00,2150.00,0.00,2240
lua,compute/fannkuch,compute,4,2150.00,2150.00,0.00,2240
lua,compute/fannkuch,compute,5,2310.00,2300.00,0.00,2240
luajit,compute/fannkuch,compute,1,370.00,370.00,0.00,2560
luajit,compute/fannkuch,compute,2,370.00,370.00,0.00,2560
luajit,compute/fannkuch,compute,3,370.00,370.00,0.00,2560
luajit,compute/fannkuch,compute,4,380.00,380.00,0.00,2560
luajit,compute/fannkuch,compute,5,370.00,370.00,0.00,2560
quickjs,compute/fannkuch,compute,1,3480.00,3480.00,0.00,3040
quickjs,compute/fannkuch,compute,2,3060.00,3070.00,0.00,3040
quickjs,compute/fannkuch,compute,3,3110.00,3120.00,0.00,3040
quickjs,compute/fannkuch,compute,4,3020.00,3020.00,0.00,3200
quickjs,compute/fannkuch,compute,5,3070.00,3070.00,0.00,3040
v8,compute/fannkuch,compute,1,200.00,200.00,0.00,26720
v8,compute/fannkuch,compute,2,200.00,200.00,0.00,26720
v8,compute/fannkuch,compute,3,210.00,200.00,0.00,26560
v8,compute/fannkuch,compute,4,200.00,200.00,0.00,26560
v8,compute/fannkuch,compute,5,200.00,200.00,0.00,26720
v8-nojit,compute/fannkuch,compute,1,2900.00,2890.00,0.00,18400
v8-nojit,compute/fannkuch,compute,2,2900.00,2890.00,0.00,18240
v8-nojit,compute/fannkuch,compute,3,2950.00,2920.00,10.00,18400
v8-nojit,compute/fannkuch,compute,4,2960.00,2930.00,10.00,18400
v8-nojit,compute/fannkuch,compute,5,2890.00,2870.00,0.00,18560
lua,compute/mandelbrot,compute,1,530.00,520.00,0.00,2400
lua,compute/mandelbrot,compute,2,510.00,500.00,0.00,2400
lua,compute/mandelbrot,compute,3,470.00,460.00,0.00,2400
lua,compute/mandelbrot,compute,4,480.00,480.00,0.00,2240
lua,compute/mandelbrot,compute,5,480.00,480.00,0.00,2400
luajit,compute/mandelbrot,compute,1,40.00,40.00,0.00,2400
luajit,compute/mandelbrot,compute,2,40.00,40.00,0.00,2400
luajit,compute/mandelbrot,compute,3,40.00,40.00,0.00,2560
luajit,compute/mandelbrot,compute,4,40.00,40.00,0.00,2560
luajit,compute/mandelbrot,compute,5,40.00,40.00,0.00,2560
quickjs,compute/mandelbrot,compute,1,1170.00,1170.00,0.00,3040
quickjs,compute/mandelbrot,compute,2,1170.00,1160.00,0.00,3040
quickjs,compute/mandelbrot,compute,3,1180.00,1180.00,0.00,3040
quickjs,compute/mandelbrot,compute,4,1220.00,1220.00,0.00,3040
quickjs,compute/mandelbrot,compute,5,1200.00,1190.00,0.00,3040
v8,compute/mandelbrot,compute,1,60.00,50.00,0.00,27840
v8,compute/mandelbrot,compute,2,60.00,50.00,0.00,27680
v8,compute/mandelbrot,compute,3,60.00,60.00,0.00,27680
v8,compute/mandelbrot,compute,4,60.00,60.00,0.00,27840
v8,compute/mandelbrot,compute,5,60.00,60.00,0.00,27360
v8-nojit,compute/mandelbrot,compute,1,960.00,970.00,0.00,20480
v8-nojit,compute/mandelbrot,compute,2,960.00,950.00,20.00,20640
v8-nojit,compute/mandelbrot,compute,3,1060.00,1040.00,20.00,20480
v8-nojit,compute/mandelbrot,compute,4,970.00,960.00,10.00,20480
v8-nojit,compute/mandelbrot,compute,5,1000.00,990.00,10.00,20480
lua,compute/nbody,compute,1,590.00,590.00,0.00,2400
lua,compute/nbody,compute,2,570.00,570.00,0.00,2400
lua,compute/nbody,compute,3,570.00,570.00,0.00,2400
lua,compute/nbody,compute,4,580.00,580.00,0.00,2400
lua,compute/nbody,compute,5,560.00,560.00,0.00,2400
luajit,compute/nbody,compute,1,60.00,60.00,0.00,2560
luajit,compute/nbody,compute,2,60.00,60.00,0.00,2560
luajit,compute/nbody,compute,3,60.00,60.00,0.00,2560
luajit,compute/nbody,compute,4,60.00,60.00,0.00,2560
luajit,compute/nbody,compute,5,60.00,50.00,0.00,2560
quickjs,compute/nbody,compute,1,1040.00,1050.00,0.00,3200
quickjs,compute/nbody,compute,2,1030.00,1030.00,0.00,3040
quickjs,compute/nbody,compute,3,1070.00,1070.00,0.00,3040
quickjs,compute/nbody,compute,4,1080.00,1080.00,0.00,3040
quickjs,compute/nbody,compute,5,1070.00,1080.00,0.00,3040
v8,compute/nbody,compute,1,40.00,30.00,10.00,28960
