engine,benchmark,category,run,wall_ms,user_ms,sys_ms,peak_rss_kb
lua,alloc/binary_trees,alloc,1,580.00,580.00,0.00,20320
lua,alloc/binary_trees,alloc,2,570.00,560.00,0.00,20160
lua,alloc/binary_trees,alloc,3,590.00,580.00,10.00,20320
lua,alloc/binary_trees,alloc,4,590.00,590.00,0.00,20160
lua,alloc/binary_trees,alloc,5,670.00,660.00,0.00,20160
lua55,alloc/binary_trees,alloc,1,580.00,580.00,0.00,33600
lua55,alloc/binary_trees,alloc,2,590.00,640.00,0.00,33600
lua55,alloc/binary_trees,alloc,3,600.00,650.00,0.00,33760
lua55,alloc/binary_trees,alloc,4,550.00,590.00,0.00,33600
lua55,alloc/binary_trees,alloc,5,560.00,600.00,10.00,33600
luajit,alloc/binary_trees,alloc,1,350.00,360.00,10.00,30240
luajit,alloc/binary_trees,alloc,2,370.00,390.00,10.00,30240
luajit,alloc/binary_trees,alloc,3,330.00,360.00,0.00,28640
luajit,alloc/binary_trees,alloc,4,330.00,350.00,0.00,30080
luajit,alloc/binary_trees,alloc,5,320.00,350.00,0.00,30560
quickjs,alloc/binary_trees,alloc,1,710.00,490.00,270.00,19360
quickjs,alloc/binary_trees,alloc,2,700.00,510.00,250.00,19360
quickjs,alloc/binary_trees,alloc,3,730.00,530.00,260.00,19360
quickjs,alloc/binary_trees,alloc,4,690.00,500.00,250.00,19360
quickjs,alloc/binary_trees,alloc,5,650.00,450.00,260.00,19360
v8,alloc/binary_trees,alloc,1,140.00,130.00,50.00,48640
v8,alloc/binary_trees,alloc,2,130.00,150.00,20.00,48960
v8,alloc/binary_trees,alloc,3,120.00,130.00,30.00,48960
v8,alloc/binary_trees,alloc,4,120.00,130.00,20.00,48800
v8,alloc/binary_trees,alloc,5,140.00,150.00,30.00,48960
v8-nojit,alloc/binary_trees,alloc,1,370.00,390.00,10.00,40000
v8-nojit,alloc/binary_trees,alloc,2,330.00,360.00,10.00,40000
v8-nojit,alloc/binary_trees,alloc,3,350.00,380.00,10.00,39840
v8-nojit,alloc/binary_trees,alloc,4,340.00,370.00,0.00,39840
v8-nojit,alloc/binary_trees,alloc,5,330.00,350.00,20.00,40160
lua,alloc/gc_stress,alloc,1,1670.00,1740.00,80.00,370400
lua,alloc/gc_stress,alloc,2,1690.00,1750.00,90.00,370240
lua,alloc/gc_stress,alloc,3,1630.00,1700.00,80.00,370400
lua,alloc/gc_stress,alloc,4,1660.00,1620.00,110.00,370400
lua,alloc/gc_stress,alloc,5,1650.00,1580.00,120.00,370400
lua55,alloc/gc_stress,alloc,1,1430.00,1370.00,110.00,385280
lua55,alloc/gc_stress,alloc,2,1410.00,1340.00,120.00,385280
lua55,alloc/gc_stress,alloc,3,1500.00,1350.00,80.00,385280
lua55,alloc/gc_stress,alloc,4,1570.00,1290.00,150.00,385280
lua55,alloc/gc_stress,alloc,5,1570.00,1340.00,100.00,385280
luajit,alloc/gc_stress,alloc,1,350.00,250.00,70.00,252960
luajit,alloc/gc_stress,alloc,2,390.00,290.00,60.00,252960
luajit,alloc/gc_stress,alloc,3,380.00,280.00,60.00,252960
luajit,alloc/gc_stress,alloc,4,390.00,300.00,60.00,252960
luajit,alloc/gc_stress,alloc,5,380.00,270.00,80.00,252960
quickjs,alloc/gc_stress,alloc,1,620.00,540.00,70.00,225120
quickjs,alloc/gc_stress,alloc,2,640.00,550.00,80.00,225120
